# KLDivergence,RevKLDivergence,ModesCovered
5.5598e-02,6.8408e-02,8.0000e+00
1.0527e-01,1.3957e-01,8.0000e+00
1.6023e-01,1.4999e-01,8.0000e+00
1.4241e-01,1.3655e-01,8.0000e+00
9.9815e-02,9.7807e-02,8.0000e+00
1.1274e-01,1.0807e-01,8.0000e+00
1.2577e-01,1.2781e-01,8.0000e+00
9.2431e-02,9.1207e-02,8.0000e+00
1.1903e-01,1.3314e-01,8.0000e+00
1.1589e-01,1.0408e-01,8.0000e+00
1.5009e-01,1.5570e-01,8.0000e+00
1.3381e-01,1.4255e-01,8.0000e+00
1.0035e-01,1.0450e-01,8.0000e+00
1.2350e-01,1.2962e-01,8.0000e+00
1.2796e-01,1.4819e-01,8.0000e+00
1.2616e-01,1.4048e-01,8.0000e+00
1.1357e-01,1.1716e-01,8.0000e+00
1.5455e-01,1.8232e-01,8.0000e+00
1.0974e-01,1.1553e-01,8.0000e+00
1.5357e-01,2.9165e-01,8.0000e+00
1.2938e-01,1.3598e-01,8.0000e+00
8.7564e-02,9.9121e-02,8.0000e+00
1.1715e-01,1.6416e-01,8.0000e+00
1.2533e-01,1.3506e-01,8.0000e+00
8.4913e-02,8.3485e-02,8.0000e+00
9.9135e-02,1.0451e-01,8.0000e+00
